end,start,title,longitude,latitude
2036-04-22T00:00:00.000-0400,2013-04-22T00:00:00.000-0400,NAVIGUER SUR LE CANAL DE LACHINE,-73.66920,45.43159
2042-04-22T00:00:00.000-0400,2013-04-22T00:00:00.000-0400,UN PROJET VIEUX DE PLUS DE 300 ANS,-73.66920,45.43159
2025-04-22T00:00:00.000-0400,2013-04-22T00:00:00.000-0400,LE PROGRAMME XPLORATEURS,-73.66920,45.43159
2025-04-22T00:00:00.000-0400,2013-04-22T00:00:00.000-0400,FONCTIONNEMENT DES ÉCLUSES - CANAL LACHINE,-73.66920,45.43159
2025-04-22T00:00:00.000-0400,2013-04-22T00:00:00.000-0400,PARCOURS DU CANAL-DE-CHAMBLY,-73.28268,45.44713
2025-04-01T00:00:00.000-0400,2013-04-22T00:00:00.000-0400,VISITE GUIDÉE DU CANAL-DE-CARILLON,-74.38067,45.57272
2025-04-22T00:00:00.000-0400,2013-04-22T00:00:00.000-0400,CIRCUIT DES PANNEAUX D'INTERPRÉTATION DU CANAL-DE-SAINTE-ANNE-DE-BELLEVUE,-73.95552,45.40462
2025-04-22T00:00:00.000-0400,2013-04-22T00:00:00.000-0400,VISITE DU BARRAGE HYDROÉLECTRIQUE DE CARILLON,-74.38067,45.57272
2025-12-31T00:00:00.000-0500,2013-04-25T00:00:00.000-0400,AUDIOTOPIE : GÉOPHONIE,-73.586505,45.476997
2025-04-29T00:00:00.000-0400,2013-04-29T00:00:00.000-0400,EN QUÊTE DU TEMPS,-73.66040,45.57465
2025-05-02T00:00:00.000-0400,2013-05-02T00:00:00.000-0400,LE PHOTOMATON DU FORT,-74.177735,45.287478
2025-05-02T00:00:00.000-0400,2013-05-02T00:00:00.000-0400,LA VISITE DU BLOCKHAUS,-74.177735,45.287478
2025-05-02T00:00:00.000-0400,2013-05-02T00:00:00.000-0400,LA GÉOCACHETTE DU FORT,-74.177735,45.287478
2025-05-02T00:00:00.000-0400,2013-05-02T00:00:00.000-0400,DE PARTOUT, VERS VOUS,-73.56468,45.37535
2025-05-02T00:00:00.000-0400,2013-05-02T00:00:00.000-0400,LA RÉSERVE OUVERTE DES VÉHICULES FERROVIAIRES,-73.56468,45.37535
2025-12-31T00:00:00.000-0500,2013-05-02T00:00:00.000-0400,AUDIOTOPIE : NUAGES,-73.556717,45.510659
2025-05-02T00:00:00.000-0400,2013-05-02T00:00:00.000-0400,DÉFI DU CANON,-74.177735,45.287478
2025-05-02T00:00:00.000-0400,2013-05-02T00:00:00.000-0400,LE WAGON DES PETITS CHEMINOTS,-73.56468,45.37535
2025-05-02T00:00:00.000-0400,2013-05-02T00:00:00.000-0400,LES TIROIRS DE L'HISTOIRE,-74.177735,45.287478
2025-05-02T00:00:00.000-0400,2013-05-02T00:00:00.000-0400,LE COIN FAMILLE,-74.177735,45.287478
2025-05-02T00:00:00.000-0400,2013-05-02T00:00:00.000-0400,TRAINS MINIATURES,-73.56468,45.37535
2025-05-02T00:00:00.000-0400,2013-05-02T00:00:00.000-0400,LE CIRCUIT DES DÉCOUVERTES,-73.27296,45.44877
2025-05-02T00:00:00.000-0400,2013-05-02T00:00:00.000-0400,LES GARES,-73.56468,45.37535
2025-05-02T00:00:00.000-0400,2013-05-02T00:00:00.000-0400,ROUSSILLON, BERCEAU DU RAIL CANADIEN,-73.56468,45.37535
2020-06-01T00:00:00.000-0400,2013-06-01T00:00:00.000-0400,ARCHÉO-AVENTURE,-73.55420,45.50305
2017-08-03T00:00:00.000-0400,2013-06-05T00:00:00.000-0400,ANDREW FORSTER,-73.58333,45.52350
2025-08-01T00:00:00.000-0400,2013-07-31T00:00:00.000-0400,EXPOS DE LA GALERIE LUZ,-73.5673,45.5058
2025-08-01T00:00:00.000-0400,2013-07-31T00:00:00.000-0400,BEAUX DEGATS,-73.562226,45.511648
2035-12-31T00:00:00.000-0500,2013-10-01T00:00:00.000-0400,PIRATES OU CORSAIRES?,-73.55420,45.50305
2025-12-31T00:00:00.000-0500,2014-01-16T00:00:00.000-0500,NOUVEAU PROJET | IDÉES, RÉCITS ET MODES D'EMPLOI,-73.56776,45.50500
2025-12-31T00:00:00.000-0500,2014-02-01T00:00:00.000-0500,UN CENTRE HISTORIQUE AU-DELÀ DES PIERRES,-73.675022,45.431813
2025-12-31T00:00:00.000-0500,2014-02-01T00:00:00.000-0500,MAISON NIVARD-DE SAINT-DIZIER,-73.583121,45.437776
2025-12-31T00:00:00.000-0500,2014-02-01T00:00:00.000-0500,EXPOSITION PERMANENTE | LA PRISON-DES-PATRIOTES,-73.54769,45.52363
2025-12-31T00:00:00.000-0500,2014-02-01T00:00:00.000-0500,UNE RÉSIDENCE PRESTIGIEUSE,-73.55393,45.55357
2025-12-31T00:00:00.000-0500,2014-02-01T00:00:00.000-0500,MUSÉE D'HISTOIRE ET DU PATRIMOINE DE DORVAL,-73.76676,45.44024
2031-02-28T00:00:00.000-0500,2014-02-03T00:00:00.000-0500,CHORÉGRAPHIES POUR DES HUMAINS ET DES ÉTOILES,-73.548361,45.559
2028-04-10T00:00:00.000-0400,2014-04-07T00:00:00.000-0400,LES COLLECTIONS DU MUSÉE DES BEAUX-ARTS DE MONTRÉAL,-73.57988,45.49855
2020-12-31T00:00:00.000-0500,2014-05-28T00:00:00.000-0400,ENSEMBLE CONTRE LE GÉNOCIDE : COMPRENDRE, QUESTIONNER, PRÉVENIR,-73.63585,45.48922
2025-08-01T00:00:00.000-0400,2014-09-04T00:00:00.000-0400,EXPOSITION LA RACK GALERIE,-73.5816312,45.4792314
2025-09-11T00:00:00.000-0400,2014-09-11T00:00:00.000-0400,PRESTATION MUSICALE,-73.55917,45.51506
2025-04-30T00:00:00.000-0400,2015-01-01T00:00:00.000-0500,TRACES. LIEUX. MÉMOIRES! |  CENTRE D'HISTOIRE DE MONTREAL,-73.55571,45.50104
2029-01-03T00:00:00.000-0500,2015-01-16T00:00:00.000-0500,TAVERNE JARRY | LE LABO,-73.628465,45.543778
2029-01-03T00:00:00.000-0500,2015-01-21T00:00:00.000-0500,MERCREDI ON VIDE LE BACKSTORE,-73.586709,45.52052
2029-01-04T00:00:00.000-0500,2015-01-22T00:00:00.000-0500,JEUDI SABOR LARINO GIRLS NIGHT OUT,-73.586709,45.52052
2029-01-05T00:00:00.000-0500,2015-02-06T00:00:00.000-0500,VENDREDI PROHIBITION,-73.586709,45.52052
2029-01-06T00:00:00.000-0500,2015-02-07T00:00:00.000-0500,LA DÉBAUCHE DU SAMEDI SOIR,-73.586709,45.52052
2025-10-01T00:00:00.000-0400,2015-02-09T00:00:00.000-0500,IMPRO – LIGUE LA JÉSUS,-73.56317,45.50958
2016-04-17T00:00:00.000-0400,2015-02-28T00:00:00.000-0500,NOUVEAUTÉS & AUTRES OBSESSIONS,-73.568984,45.507828
2026-03-31T00:00:00.000-0400,2015-03-01T00:00:00.000-0500,COLLECTION PERMANENTE DE L'AGAC,-73.5673,45.5058
2025-03-24T00:00:00.000-0400,2015-03-03T00:00:00.000-0500,MARDI JAZZ,-73.65782,45.56032
